feature	AC_character	pear_r	t_stat	df	pvalue	adj_pvalue
perc_chemotaxis	bioA	0.206082873875316	0.98781833278827	22	0.33398211480803	1
perc_chemotaxis	maxl2fc	0.242237992970063	1.17107519679361	22	0.254096905633291	1
perc_chemotaxis	immediacy	0.0942897724498374	0.444237403398668	22	0.661210067735001	1
perc_transport	bioA	0.55021001256251	3.09057771762754	22	0.00534143905929228	0.0427315124743382
perc_transport	maxl2fc	0.394781430877521	2.01538887337334	22	0.0562419358799152	0.149978495679774
perc_transport	immediacy	-0.430976959245805	-2.24018634923702	22	0.0355053924364196	0.142021569745678
perc_transfact	bioA	0.88114350511286	8.74048560242862	22	1.31694041564466e-08	1.05355233251573e-07
perc_transfact	maxl2fc	-0.0766339341835726	-0.360505151502161	22	0.721907677884047	1
perc_transfact	immediacy	-0.055227315907027	-0.259435020775113	22	0.797711877963129	1
perc_osmostress	bioA	0.504801184475634	2.742851813668	22	0.0118765208940675	0.0950121671525401
perc_osmostress	maxl2fc	0.10990808592763	0.518656768056527	22	0.609178073092221	1
perc_osmostress	immediacy	-0.355776694678082	-1.78556859322917	22	0.0879632177200587	0.351852870880235
perc_dormancy	bioA	0.0701564670612546	0.329875812953638	22	0.744614236381276	1
perc_dormancy	maxl2fc	-0.20901554178953	-1.00251297830614	22	0.326995744272788	1
perc_dormancy	immediacy	0.0361750493146506	0.169787152423778	22	0.866729144787258	1
perc_secenzy	bioA	-0.229470331376806	-1.10581932142008	22	0.280751238751513	1
perc_secenzy	maxl2fc	0.159189993126363	0.75631176602937	22	0.457485280697992	1
perc_secenzy	immediacy	-0.303977288001606	-1.49660005617987	22	0.148707041739945	1
perc_adhesion	bioA	0.0361329579427262	0.169589338669182	22	0.866882864861246	1
perc_adhesion	maxl2fc	-0.0734285451624197	-0.345342664647554	22	0.733116934685971	1
perc_adhesion	immediacy	0.0197184840366459	0.0925058740365841	22	0.927133349030187	1
rel_n_SMBCs	bioA	0.712378339198449	4.76114478543476	22	9.40906511202214e-05	0.000752725208961771
rel_n_SMBCs	maxl2fc	-0.318543277174025	-1.57620771760881	22	0.129249974010238	0.516999896040951
rel_n_SMBCs	immediacy	0.0584033372978546	0.274404323129117	22	0.786334130703398	1
