treatment	OTU	Phylum	Class	Order	Family	Genus	Maximum log2 fold change	C source bioavailability	C assimilation Latency
Glucose Day 14	OTU.7398	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	5.91780821618286	47	0
Glucose Day 14	OTU.742	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	3.41896011425009	47	0
Glucose Day 14	OTU.7465	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	6.63673147920899	44.25	2.09790749211022
Glucose Day 14	OTU.752	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7.70132208357294	43.125	1.05959847209765
Glucose Day 14	OTU.7529	Firmicutes	Bacilli	Bacillales	NA	NA	6.93954941309853	46	0.501359132258758
Glucose Day 14	OTU.7554	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	6.59427429532956	46.5	1.86883480914168
Glucose Day 14	OTU.7584	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	1.5314594506958	46.25	1.14624186966764
Glucose Day 14	OTU.767	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_bacterium	4.4615428746785	42.3333333333333	0.648636716351771
Glucose Day 14	OTU.772	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	3.52448078282731	46.5	2.29248373933529
Glucose Day 14	OTU.7739	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	5.32587159590478	42.25	0.0385376699568146
Glucose Day 14	OTU.78	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	NA	1.4120686642326	44	1.51209940898141
Glucose Day 14	OTU.790	Actinobacteria	Acidimicrobiia	Acidimicrobiales	TM214	uncultured_bacterium	1.28636682555839	46.5	2.29248373933529
Glucose Day 14	OTU.7907	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0	43.6666666666667	1.64047990509726
Glucose Day 14	OTU.7952	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	4.32331181327367	44	2.12557564929954
Glucose Day 14	OTU.799	Actinobacteria	PeM15	uncultured_bacterium	NA	NA	1.81342356455856	47	2.63905732961526
Glucose Day 14	OTU.8	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	7.80890373627665	41.6	1.12291737917035
Glucose Day 14	OTU.80	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured_bacterium	0	46	0.770222520473574
Glucose Day 14	OTU.8086	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	1.00598566980366	43.6666666666667	1.89452658911289
Glucose Day 14	OTU.8160	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium	5.59441858726905	46.5	2.29248373933529
Glucose Day 14	OTU.818	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	3.4794167886131	47	2.63905732961526
Glucose Day 14	OTU.83	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	0.193128493413429	43	0.489707801123425
Glucose Day 14	OTU.8384	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	0	47	2.63905732961526
Glucose Day 14	OTU.8386	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	4.53764126761579	47	0
Glucose Day 14	OTU.84	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	3.09012611957066	41.4	0.984287943058357
Glucose Day 14	OTU.8409	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	5.57871919456595	43.6666666666667	1.89452658911289
Glucose Day 14	OTU.8411	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	3.63572541856555	39.6666666666667	0.963457252632055
Glucose Day 14	OTU.8418	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	0	43	-0.173286795139986
Glucose Day 14	OTU.845	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	0.183226485792639	47	2.63905732961526
Glucose Day 14	OTU.85	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Candidatus_Alysiosphaera	uncultured_bacterium	1.62758611592272	42.3333333333333	1.93903705332107
Glucose Day 14	OTU.8567	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	6.95980419824202	46.5	1.09861228866811
Glucose Day 14	OTU.86	Nitrospirae	Nitrospira	Nitrospirales	0319-6A21	uncultured_bacterium	0.96978652721326	43.8	1.84778556576562
Glucose Day 14	OTU.864	Chloroflexi	Ktedonobacteria	C0119	uncultured_bacterium	NA	0.846468065354317	47	2.63905732961526
Glucose Day 14	OTU.87	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	0.673567180970487	43.6666666666667	2.05119446552814
Glucose Day 14	OTU.8723	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	NA	3.53504430350768	46.5	1.52226121886171
Glucose Day 14	OTU.88	Actinobacteria	Frankiales	Nakamurellaceae	Humicoccus	NA	1.60826355601682	46.5	1.44518587894808
Glucose Day 14	OTU.8841	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	0	42.5	1.53135312990443
Glucose Day 14	OTU.8867	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	6.46847469443448	46.5	2.29248373933529
Glucose Day 14	OTU.8881	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	7.58533527007604	44.1666666666667	1.2155029466288
Glucose Day 14	OTU.8953	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Singulisphaera	4.22960112389066	47	2.63905732961526
Glucose Day 14	OTU.896	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0.53144964248221	42.5	0.549306144334055
Glucose Day 14	OTU.9008	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia	NA	3.89110219106029	47	2.63905732961526
Glucose Day 14	OTU.906	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	5.21714617216622	42.3333333333333	1.52832249289019
Glucose Day 14	OTU.9087	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	6.80860089418071	39.6666666666667	1.49993655677675
Glucose Day 14	OTU.9112	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	4.64637570298674	46.5	1.52226121886171
Glucose Day 14	OTU.93	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	0.0197381577584363	42.8333333333333	1.28308046464682
Glucose Day 14	OTU.9397	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6.64134055301983	45.6	2.00344656354567
Glucose Day 14	OTU.94	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	1.09013852000908	46	0.770222520473574
Glucose Day 14	OTU.9510	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	4.48638128094337	43.4444444444444	0.770704748426006
Glucose Day 14	OTU.952	Bacteroidetes	VC2.1_Bac22	uncultured_bacterium	NA	NA	4.6284786577349	42.2	1.83075400409756
Glucose Day 14	OTU.958	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	1.91039284899124	43.6666666666667	1.64047990509726
Glucose Day 14	OTU.9600	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	4.45644618571413	47	1.09861228866811
Glucose Day 14	OTU.9651	Actinobacteria	Propionibacteriales	Nocardioidaceae	NA	NA	4.7409923874716	47	2.63905732961526
Glucose Day 14	OTU.9680	Planctomycetes	Pla3_lineage	NA	NA	NA	4.4222674965309	47	2.63905732961526
Glucose Day 14	OTU.9689	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured_bacterium	7.57232799020828	42.5	2.10383662376455
Glucose Day 14	OTU.9711	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	3.26789492922907	43.4444444444444	0.770704748426006
Glucose Day 14	OTU.9765	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	uncultured_bacterium	3.82531654753792	46.5	0.202732554054082
Glucose Day 14	OTU.98	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	0.730942572033572	43.1428571428571	0.942838642744691
Glucose Day 14	OTU.9805	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0	43.6666666666667	1.89452658911289
Glucose Day 14	OTU.9810	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	2.41896011425009	42.4	1.66452741939079
Glucose Day 14	OTU.99	Chloroflexi	KD4-96	uncultured_bacterium	NA	NA	0	46.25	0.871588797500615
Glucose Day 14	OTU.992	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	4.20900185464691	40.5	1.31952866480763
Glucose Day 14	OTU.9982	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	4.8335028027935	45.3333333333333	2.04180417320591
Glycerol Day 14	OTU.10290	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_agilis	4.70586374388262	46	1.09861228866811
Glycerol Day 14	OTU.107	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	NA	0.295029941506885	43.8	1.21780897508937
Glycerol Day 14	OTU.11	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.13200237931762	43.25	0.909101871556908
Glycerol Day 14	OTU.11053	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium	5.47978041283768	46	1.94591014905531
Glycerol Day 14	OTU.11131	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6.47213324310853	43.25	1.63271940693147
Glycerol Day 14	OTU.11357	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	10.3474399636925	44.3333333333333	0.417587656165123
Glycerol Day 14	OTU.11387	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	11.6791481106143	45.5	0.202732554054082
Glycerol Day 14	OTU.11704	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	0	43.25	1.72798691343733
Glycerol Day 14	OTU.11765	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7.37887498130802	46	0.405465108108164
Glycerol Day 14	OTU.13222	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	7.22737910230631	42.8333333333333	1.28308046464682
Glycerol Day 14	OTU.13269	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	4.28481332267541	41	1.05707313368296
Glycerol Day 14	OTU.135	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0	43.4285714285714	1.85379963530164
Glycerol Day 14	OTU.13547	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	2.93964302654479	43.25	1.72798691343733
Glycerol Day 14	OTU.13984	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	5.01322317725421	45.5	0.423648930193602
Glycerol Day 14	OTU.14	Actinobacteria	MB-A2-108	uncultured_bacterium	NA	NA	0.0810063543326271	43.625	1.15486597860351
Glycerol Day 14	OTU.14003	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6.18166331406298	43.625	0.761130609430856
Glycerol Day 14	OTU.1439	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	2.50510161733482	46	1.94591014905531
Glycerol Day 14	OTU.144	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0.170857641226297	43.4285714285714	1.4767914453566
Glycerol Day 14	OTU.155	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	8.32599462115143	41.4	0.984287943058357
Glycerol Day 14	OTU.159	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium_	Cellulomonas	5.83893394933515	44	1.68155898105885
Glycerol Day 14	OTU.181	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	3.14739618707745	42	1.23484053675743
Glycerol Day 14	OTU.1848	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Derxia	1.70135722323897	42.2	1.5258979832788
Glycerol Day 14	OTU.201	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	4.675020691458	39.3333333333333	0.760794128558842
Glycerol Day 14	OTU.212	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	2.70137105725273	46	1.52832249289019
Glycerol Day 14	OTU.214	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	1.68804962302359	43	1.71142454100154
Glycerol Day 14	OTU.217	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	1.27296798640851	43	1.71142454100154
Glycerol Day 14	OTU.2171	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.11640723912158	45.6	1.47563509762262
Glycerol Day 14	OTU.218	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	0	43.1428571428571	1.11885916864364
Glycerol Day 14	OTU.22	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Agromyces_fucosus	2.06907446463177	44.8333333333333	1.1303653426678
Glycerol Day 14	OTU.222	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	NA	5.41201901115346	42	0.202732554054082
Glycerol Day 14	OTU.223	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	0.857964357636013	43.4285714285714	1.4767914453566
Glycerol Day 14	OTU.24	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.08324403381137	43.25	1.19692500818116
Glycerol Day 14	OTU.2401	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	2.41900866018128	46.3333333333333	2.17695920924196
Glycerol Day 14	OTU.248	Actinobacteria	MB-A2-108	NA	NA	NA	0.305586692524741	42.4	1.66452741939079
Glycerol Day 14	OTU.254	Actinobacteria	Acidimicrobiia	Acidimicrobiales	TM214	NA	0	42	0.916993495734114
Glycerol Day 14	OTU.267	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	0	45.75	0.833051127543801
Glycerol Day 14	OTU.274	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	2.3318006203154	42	0.752038698388137
Glycerol Day 14	OTU.3	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	uncultured_bacterium	1.95255717169245	45.5	0.501359132258758
Glycerol Day 14	OTU.306	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	4.09176295159831	42.1666666666667	1.28577462078905
Glycerol Day 14	OTU.3100	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	5.94712569899259	46	2.56198198970163
Glycerol Day 14	OTU.316	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	uncultured	0.89400851256161	46	1.94591014905531
Glycerol Day 14	OTU.318	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	uncultured	1.93595320414665	41	0.895879734614027
Glycerol Day 14	OTU.32	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium	0.581648065863836	42.8333333333333	1.72292335291603
Glycerol Day 14	OTU.333	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0.348607100769739	43.2857142857143	0.932982518246555
Glycerol Day 14	OTU.344	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	5.08012736852852	46.5	2.29248373933529
Glycerol Day 14	OTU.3504	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	3.72631584027834	39.3333333333333	1.26888749659011
Glycerol Day 14	OTU.3690	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0.701354258205001	46	1.94591014905531
Glycerol Day 14	OTU.3719	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	0	43.25	1.53543128331894
Glycerol Day 14	OTU.372	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	1.09708498270791	42	1.52226121886171
Glycerol Day 14	OTU.378	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	0.531444738400421	46.3333333333333	2.17695920924196
Glycerol Day 14	OTU.3784	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	1.00992548877322	44.6	2.06750802349924
Glycerol Day 14	OTU.38	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter	0.806557334049546	42.5	0.660135528266263
Glycerol Day 14	OTU.3811	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	2.10940819897895	42.2	1.67832599368818
Glycerol Day 14	OTU.389	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	NA	0	44.6666666666667	0.700020276294191
Glycerol Day 14	OTU.4022	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	4.55262985694152	46.3333333333333	2.17695920924196
Glycerol Day 14	OTU.406	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	uncultured_bacterium	0	42.3333333333333	1.52832249289019
Glycerol Day 14	OTU.42	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0	43.1428571428571	0.565830452799654
Glycerol Day 14	OTU.4207	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	0	44.6666666666667	1.57970605283261
Glycerol Day 14	OTU.4381	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	5.915160370443	43.8571428571429	0.833961492452277
Glycerol Day 14	OTU.4554	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	4.70604139267945	46	0.886163359768663
Glycerol Day 14	OTU.462	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	0.657179638047013	43.7142857142857	1.17506762121433
Glycerol Day 14	OTU.4662	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	3.78810008456095	43.6666666666667	1.64047990509726
Glycerol Day 14	OTU.4788	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	1.83403623003709	43.4285714285714	1.85379963530164
Glycerol Day 14	OTU.4941	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	4.50867516166892	45.6	2.00344656354567
Glycerol Day 14	OTU.528	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	1.42502229840559	41.25	1.42089494183467
Glycerol Day 14	OTU.5707	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Albidiferax	0	46	1.94591014905531
Glycerol Day 14	OTU.5723	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	0.983969037515554	41.25	1.42089494183467
Glycerol Day 14	OTU.573	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured_bacterium	0.520620148838097	46	1.94591014905531
Glycerol Day 14	OTU.6	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	8.3124780737077	42.3333333333333	1.26008284081784
Glycerol Day 14	OTU.608	Chloroflexi	Thermomicrobia	AKYG1722	NA	NA	0.920223449728138	40	0.972955074527657
Glycerol Day 14	OTU.619	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	2.26152763347007	42	1.26888749659011
Glycerol Day 14	OTU.629	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	5.9782453778507	46.5	2.29248373933529
Glycerol Day 14	OTU.67	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	11.2724355938281	46.5	0.972955074527657
Glycerol Day 14	OTU.675	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	1.74692639291644	46	1.94591014905531
Glycerol Day 14	OTU.6767	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7.51574647509147	45.5	1.41279796279687
Glycerol Day 14	OTU.6800	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	43.3333333333333	1.40943084491061
Glycerol Day 14	OTU.69	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	1.66202770148809	42.7142857142857	1.38007969625566
Glycerol Day 14	OTU.6981	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	4.48273214034723	43.6666666666667	1.89452658911289
Glycerol Day 14	OTU.7395	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	1.26148349613383	46	2.56198198970163
Glycerol Day 14	OTU.752	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7.70132208357294	43.125	1.05959847209765
Glycerol Day 14	OTU.7739	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	5.32587159590478	42.25	0.0385376699568146
Glycerol Day 14	OTU.79	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio	3.4313550057429	43.3333333333333	1.12699822478155
Glycerol Day 14	OTU.8086	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	1.00598566980366	43.6666666666667	1.89452658911289
Glycerol Day 14	OTU.81	Candidate_division_WS3	uncultured_bacterium	NA	NA	NA	0	46	-0.0575364144903562
Glycerol Day 14	OTU.8160	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium	5.59441858726905	46.5	2.29248373933529
Glycerol Day 14	OTU.8240	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	NA	7.57062453458912	42	0.752038698388137
Glycerol Day 14	OTU.8442	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7.1647499687845	46.5	0.202732554054082
Glycerol Day 14	OTU.8491	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	4.27228146061471	40	0.782420061515932
Glycerol Day 14	OTU.8537	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	5.11025470768758	46	1.94591014905531
Glycerol Day 14	OTU.8909	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	6.65622653073147	45.6666666666667	0.972955074527657
Glycerol Day 14	OTU.8944	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	7.23172381587273	46	1.94591014905531
Glycerol Day 14	OTU.93	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	0.0197381577584363	42.8333333333333	1.28308046464682
Glycerol Day 14	OTU.9397	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6.64134055301983	45.6	2.00344656354567
Glycerol Day 14	OTU.9510	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	4.48638128094337	43.4444444444444	0.770704748426006
Glycerol Day 14	OTU.9711	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	3.26789492922907	43.4444444444444	0.770704748426006
Glycerol Day 14	OTU.9765	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	uncultured_bacterium	3.82531654753792	46.5	0.202732554054082
Glycerol Day 14	OTU.98	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	0.730942572033572	43.1428571428571	0.942838642744691
Glycerol Day 14	OTU.9805	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0	43.6666666666667	1.89452658911289
Glycerol Day 14	OTU.987	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	1.43832782405971	39.3333333333333	1.01484081257447
Cellulose Day 30	OTU.100	Acidobacteria	DA023	uncultured_Acidobacteria_bacterium	NA	NA	0.736017722552959	38	1.09861228866811
Cellulose Day 30	OTU.10019	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	3.30551798592707	36	0.549306144334055
Cellulose Day 30	OTU.1002	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	3.10940819897895	38	1.09861228866811
Cellulose Day 30	OTU.103	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	4.00391084262586	43	1.17150868898972
Cellulose Day 30	OTU.104	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	6.20555988813594	42.1666666666667	0.589190892361982
Cellulose Day 30	OTU.10416	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	uncultured_bacterium	5.79269402465961	38	1.09861228866811
Cellulose Day 30	OTU.1046	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	0.524445698257793	36	0.930376170357503
Cellulose Day 30	OTU.105	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	uncultured	2.89374175218092	38	0.366204096222703
Cellulose Day 30	OTU.10663	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	1.89620137002693	42.2	1.5258979832788
Cellulose Day 30	OTU.107	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	NA	0.295029941506885	43.8	1.21780897508937
Cellulose Day 30	OTU.10705	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1.92803846075464	43.2857142857143	1.13568531659455
Cellulose Day 30	OTU.10707	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	3.20918889668967	36	0.930376170357503
Cellulose Day 30	OTU.1096	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	0.19866857850849	38	1.09861228866811
Cellulose Day 30	OTU.11	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	2.13200237931762	43.25	0.909101871556908
Cellulose Day 30	OTU.1102	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	6.00381290541101	38	1.09861228866811
Cellulose Day 30	OTU.11020	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	7.0130160382461	42	2.13833305950803
Cellulose Day 30	OTU.1110	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	0.834032929988735	36	0.930376170357503
Cellulose Day 30	OTU.11131	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	6.47213324310853	43.25	1.63271940693147
Cellulose Day 30	OTU.11182	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	6.94869793788522	42.5	1.86883480914168
